ClientID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderID,IAId
C1000,Raymond Miller,18,L200,2025-07-20,947-547-9268x8538,Taiwan,"Programmer, multimedia",Standard,Platinum,196698,399307,3,15726,4,97514,0,0,Yes,44809,1,High,R1000,3,A116
C1001,Penny Wolfe,19,L201,2007-12-19,(459)220-3920x588,Martinique,Technical author,Business,Platinum,138613,155502,0,2193,0,60593,1,0,Yes,38302,0,Low,R1001,3,A105
C1002,James Reese,39,L202,2016-08-07,279-147-9092x8407,Paraguay,Network engineer,Student,Platinum,93921,208282,4,1984,1,64465,1,0,No,36952,2,Medium,R1002,2,A108
C1003,Casey Brown,24,L203,2010-04-02,665.817.4772x29680,Tajikistan,"Pilot, airline",Standard,Gold,41538,254883,3,17158,3,48203,0,0,No,49755,0,Low,R1003,2,A116
C1004,Melanie Wagner,60,L204,2013-10-25,+1-125-862-1787x2052,Bulgaria,Comptroller,Business,Platinum,25599,25904,0,17804,1,82351,0,1,Yes,7179,2,Low,R1004,2,A105
C1005,Hannah Clarke,76,L205,2007-03-29,+1-065-051-7783x2544,Italy,"Conservation officer, historic buildings",Premium,Silver,119661,146781,4,8674,1,89681,1,0,Yes,45232,1,Low,R1005,3,A108
C1006,Jonathan Lane,46,L206,2009-11-25,001-413-616-3403x8342,Northern Mariana Islands,"Conservation officer, historic buildings",Standard,Silver,119550,430653,1,2950,0,83369,1,0,No,28770,2,Low,R1006,2,A107
C1007,Ashley Perez,52,L207,2023-01-09,(072)207-3536x7912,Guinea,Publishing copy,Standard,Platinum,33845,25448,3,10479,2,98946,1,1,Yes,29107,2,Medium,R1007,1,A113
C1008,Eric Lee,62,L208,2010-10-26,795.120.5324x975,Swaziland,Glass blower/designer,Premium,Platinum,45647,78901,0,6410,2,82336,0,0,Yes,38206,2,High,R1008,1,A111
C1009,Kathy Moore,18,L209,2015-03-17,7249953211,El Salvador,"Radiographer, therapeutic",Standard,Silver,103156,156117,0,13864,0,85805,0,1,No,35548,1,Low,R1009,1,A100
C1010,Regina Strickland,32,L210,2018-07-27,+1-413-253-6512,Papua New Guinea,Multimedia specialist,Business,Gold,62855,406215,3,8640,1,56720,1,1,Yes,33354,2,Medium,R1010,1,A117
C1011,Michelle Taylor,23,L211,2018-12-22,9369181505,Czech Republic,Teaching laboratory technician,Standard,Gold,136198,96560,0,2880,1,78320,1,0,No,27608,1,Low,R1011,1,A102
C1012,Michele Ray,37,L212,2015-07-22,(595)202-9177x926,Luxembourg,Arts development officer,Student,Platinum,137878,134412,1,5733,4,82594,0,1,No,11645,2,Medium,R1012,3,A119
C1013,Steven Morris,50,L213,2009-11-21,323-496-6718,Fiji,Maintenance engineer,Business,Bronze,110417,68884,1,5403,4,59814,0,0,Yes,15280,0,High,R1013,3,A106
C1014,Crystal Hernandez,24,L214,2024-11-06,228.314.5344,Norfolk Island,Water quality scientist,Standard,Gold,191370,185362,3,8240,0,87608,1,0,No,16655,2,Low,R1014,3,A115
C1015,Matthew Smith,72,L215,2017-05-22,(130)935-3088x73081,Maldives,"Conservator, museum/gallery",Business,Platinum,198362,15554,0,5340,3,18604,1,0,No,49934,0,Low,R1015,2,A119
C1016,Harold Thompson,76,L216,2012-12-07,+1-695-142-5936x503,Holy See (Vatican City State),Armed forces technical officer,Student,Silver,93303,296879,4,4581,2,98341,1,0,Yes,32656,1,Medium,R1016,1,A102
C1017,Ryan Reynolds,48,L217,2018-11-24,635.158.9158x89367,Heard Island and McDonald Islands,Quantity surveyor,Business,Gold,115295,469961,3,13691,0,14,1,1,No,13801,2,Medium,R1017,2,A119
C1018,Monique Smith,25,L218,2012-03-11,001-320-373-2230x8345,Trinidad and Tobago,Senior tax professional/tax inspector,Business,Silver,94736,286008,2,9446,4,19616,0,1,Yes,45384,0,High,R1018,3,A108
C1019,Marie Scott,63,L219,2023-11-04,(429)505-7657,Romania,"Administrator, arts",Standard,Silver,29568,192513,3,17238,2,55016,0,0,No,690,1,Low,R1019,3,A102
C1020,Kevin Johnson,23,L220,2019-05-27,(660)340-5356x743,Nepal,Land,Business,Platinum,109750,430505,3,10963,3,28679,1,1,Yes,31571,0,Low,R1020,3,A104
C1021,Thomas Le,61,L221,2006-01-13,(903)753-4556x03143,United Arab Emirates,Illustrator,Student,Platinum,56856,193361,3,18109,0,18080,1,0,No,49037,2,Low,R1021,1,A102
C1022,Dillon Taylor,25,L222,2006-09-17,+1-361-269-6221x69178,British Virgin Islands,Insurance underwriter,Business,Gold,44379,475202,1,15045,3,13279,0,1,No,42494,2,Medium,R1022,3,A110
C1023,Randy White,66,L223,2017-01-01,137-103-2291,Heard Island and McDonald Islands,Adult guidance worker,Student,Gold,77830,105531,2,5258,1,60912,0,0,Yes,48372,1,High,R1023,3,A104
C1024,Gregory Buckley,32,L224,2024-08-11,1542199535,Pakistan,Sports coach,Premium,Gold,30489,482619,1,15333,2,21382,1,1,No,37650,1,Low,R1024,1,A117
C1025,Ashley Jenkins,21,L225,2024-09-12,161-601-7683x3566,French Polynesia,Air cabin crew,Student,Gold,153604,21601,4,13131,2,31991,0,0,No,23633,2,Low,R1025,3,A101
C1026,Brian Lewis Jr.,55,L226,2024-02-17,001-418-062-0022x0235,Falkland Islands (Malvinas),Chemical engineer,Student,Gold,25624,406950,3,7461,4,77167,0,1,No,36595,1,Medium,R1026,1,A102
C1027,Katelyn Mccall,58,L227,2022-02-05,542.967.2880x90433,Western Sahara,Community education officer,Business,Platinum,197429,415076,2,7510,3,50306,1,1,No,16131,0,High,R1027,3,A101
C1028,Marvin Vargas,71,L228,2014-10-19,190-415-4861x99095,Philippines,Regulatory affairs officer,Business,Platinum,25148,67292,1,6803,0,16412,0,0,Yes,9280,0,Low,R1028,2,A118
C1029,Arthur Lee,33,L229,2017-11-26,5125226449,Latvia,Financial risk analyst,Standard,Silver,183751,386804,4,16869,2,17479,0,0,No,19862,1,Low,R1029,1,A109
